Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Primary Shape,Secondary Shape,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
academy uniform,,,Gray,No,2080,520,51,Gray,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Womanly,Womanly,Elegant,Simple,formal; party,1,Yes,Box,L,For sale,1.0.0,Yes,TopsTexOnepieceBoxLYosoiki1,31,9016,zbKRm5Cv5dyiz3y35
academy uniform,,,Red,No,2080,520,51,Red,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Womanly,Womanly,Elegant,Simple,formal; party,2,Yes,Box,L,For sale,1.0.0,Yes,TopsTexOnepieceBoxLYosoiki2,31,9017,3FSAsaikyEjHkLWcM
academy uniform,,,Navy blue,No,2080,520,51,Blue,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Womanly,Womanly,Elegant,Simple,formal; party,3,Yes,Box,L,For sale,1.0.0,Yes,TopsTexOnepieceBoxLYosoiki0,31,2699,yfbZu5Nj6wtJSnuDW
adventure dress,,,NA,No,2800,700,51,Aqua,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Womanly,Womanly,Cute,Cute,fairy tale,1,Yes,Balloon,H,For sale,1.0.0,Yes,TopsTexOnepieceBalloonHStrangeBlue,227,3686,AQZFR4Bzob9Phsr9R
alpinist dress,,,Red,No,2520,630,51,Red,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Womanly,Womanly,Cute,Cute,everyday; formal,1,Yes,Balloon,H,For sale,1.0.0,Yes,TopsTexOnepieceBalloonHTyrolean2,68,8616,TkEkCuYTjTEu38axs
alpinist dress,,,Green,No,2520,630,51,Green,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Womanly,Womanly,Cute,Cute,everyday; formal,2,Yes,Balloon,H,For sale,1.0.0,Yes,TopsTexOnepieceBalloonHTyrolean0,68,3168,rN77JmGnpSNNeQogP
alpinist dress,,,Blue,No,2520,630,51,Blue,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Womanly,Womanly,Cute,Cute,everyday; formal,3,Yes,Balloon,H,For sale,1.0.0,Yes,TopsTexOnepieceBalloonHTyrolean1,68,8615,zkWYtfW3WeDbdSQuy
alpinist overalls,,,Red,No,2520,630,51,Red,Pink,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Elegant,Elegant,everyday; formal,1,Yes,Overall,H,For sale,1.0.0,Yes,TopsTexOnepieceOverallHTyrolean2,368,8632,WWbNFkaxwJMGLSBYj
alpinist overalls,,,Green,No,2520,630,51,Green,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Elegant,Elegant,everyday; formal,2,Yes,Overall,H,For sale,1.0.0,Yes,TopsTexOnepieceOverallHTyrolean0,368,4443,vzaWMkA2s7R6SefHa
alpinist overalls,,,Blue,No,2520,630,51,Blue,Aqua,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Elegant,Elegant,everyday; formal,3,Yes,Overall,H,For sale,1.0.0,Yes,TopsTexOnepieceOverallHTyrolean1,368,8631,onM7CM229PHZyRjPd
ancient belted robe,,,White,No,3640,910,51,White,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Manly,Manly,Elegant,Cool,formal,1,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukumen3,773,9160,Fcbj8smE8XoZJuH3h
ancient belted robe,,,Green,No,3640,910,51,Green,Green,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Manly,Manly,Elegant,Cool,formal,2,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukumen1,773,9158,Ta6QSCmpE9nybMPxA
ancient belted robe,,,Blue,No,3640,910,51,Aqua,Blue,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Manly,Manly,Elegant,Cool,formal,3,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukumen0,773,5518,W2KoH5jp8b43CHbsK
ancient belted robe,,,Purple,No,3640,910,51,Purple,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Manly,Manly,Elegant,Cool,formal,4,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukumen4,773,9161,2Pz2drQkcbzDF5dXX
ancient belted robe,,,Beige,No,3640,910,51,Beige,Brown,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Manly,Manly,Elegant,Cool,formal,5,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukumen2,773,9159,DFxZQJWvqjzGxpEWw
ancient sashed robe,,,Red,No,2520,630,51,Pink,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Cute,formal,1,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukuwomen2,774,9163,fkKFHi8LSBqQnF5fP
ancient sashed robe,,,Pink,No,2520,630,51,Pink,Purple,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Cute,formal,2,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukuwomen1,774,9162,vRcHxEwpupmHocSZi
ancient sashed robe,,,Green,No,2520,630,51,Green,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Cute,formal,3,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukuwomen0,774,5519,9ia2ueaAKgT25KpLq
ancient sashed robe,,,Blue,No,2520,630,51,Aqua,Blue,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Cute,formal,4,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukuwomen3,774,9164,eZq27jsCvY5jxiyJX
ancient sashed robe,,,Purple,No,2520,630,51,Purple,Purple,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Cute,formal,5,Yes,Kimono,L,For sale,1.0.0,Yes,TopsTexOnepieceKimonoLKanpukuwomen4,774,9165,jr6P62azs7uQ2gzjL
áo dài,,,White,No,2520,630,51,White,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Womanly,Womanly,Elegant,Gorgeous,everyday; formal,1,Yes,B-long,L,For sale,1.0.0,Yes,TopsTexOnepieceBlongLAodai0,181,3493,KPYgXwbrnLgBT7aaS
