Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
A tee,,,NA,No,560,140,51,Blue,White,1x1,500,Poki,Nook Shopping Daily Selection,,NA,NA,All Year,Summer,NA,Free,Free,Simple,Simple,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHAce0,1038,8532,7XCg953t2tGAPuzaR
acid-washed jacket,,,Black,No,1680,420,51,Black,Black,1x1,1500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,NA,Free,Free,Simple,Cool,everyday; outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLChemical1,652,9538,K96PFk2AuQFqPrKH3
acid-washed jacket,,,Blue,No,1680,420,51,Blue,Blue,1x1,1500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Spring,All Year,Free,Free,Simple,Cool,everyday; outdoorsy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLChemical0,652,5289,zAiLmCwSaWADqXkRf
after-school jacket,,,Black,No,1050,262,51,Black,Red,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,All Year,Free,Free,Cool,Cool,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen0,329,4366,rAfEdHYdt5e4AGTya
after-school jacket,,,White,No,1050,262,51,White,Black,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen3,329,7556,N6nbrMGHwztxBWTMm
after-school jacket,,,Gray,No,1050,262,51,Gray,White,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen5,329,7558,m279zqujD3zTbp44a
after-school jacket,,,Berry red,No,1050,262,51,Red,Green,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen1,329,7554,mGvZuvYbGma2REd6A
after-school jacket,,,Green,No,1050,262,51,Green,Yellow,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,everyday; comfy,5,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen2,329,7555,YHLqiyRYuF8BwEgaF
after-school jacket,,,Blue,No,1050,262,51,Blue,Purple,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,everyday; comfy,6,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen6,329,7559,KzNwELnmeCmWBQMoD
after-school jacket,,,Purple,No,1050,262,51,Purple,Blue,1x1,940,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,everyday; comfy,7,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLGakuranopen4,329,7557,svQfLQXgrowTDaDoh
