Name,Icon Image,Photo Image,House Image,Species,Gender,Personality,Subtype,Hobby,Birthday,Catchphrase,Favorite Song,Favorite Saying,Style 1,Style 2,Color 1,Color 2,Default Clothing,Default Umbrella,Wallpaper,Flooring,Furniture List,Furniture Name List,DIY Workbench,Kitchen Equipment,Version Added,Name Color,Bubble Color,Filename,Unique Entry ID
Ace,,,,Bird,Male,Jock,A,Nature,8/11,ace,K.K. Hop,"If you love something, let it go. Then chase it down. What were you thinking?",Active,Cute,Aqua,Green,9132,two-tone umbrella,green-paint wall,green-paint flooring,1051;2554;2606;3122;4338;12309;12780;13114;13115;13117;13118;14054;14604,water bird;double sofa;ranch bed;mini DIY workbench;portable record player;pitcher plant;wall shelf with bottles;vintage stool;vintage desk;vintage low table;vintage dresser;ranch kitchen;glowing-moss jar,"3122,3_0","14054,5_0",2.0.0,#fffce9,#0961f6,brd09,cBJxF2eoM4Cymei82
Admiral,,,,Bird,Male,Cranky,A,Nature,1/27,aye aye,Steep Hill,Only quitters give up.,Cool,Cool,Black,Blue,3164,bat umbrella,dirt-clod wall,tatami,717;787;1849;2736;3438;3449;3622;3802;4029;4106;5970;7047,clay furnace;tape deck;kotatsu;retro fan;wooden end table;wooden stool;floor seat;pine bonsai tree;rotary phone;pendulum clock;firewood;zen cushion,"3122,2_0",717,1.0.0,#fffce9,#0ca54a,brd06,B3RyfNEqwGmcccRC3
Agent S,,,,Squirrel,Female,Peppy,B,Fitness,7/2,sidekick,Go K.K. Rider,You gotta put the pedal to the metal!,Active,Simple,Blue,Black,12036,beach umbrella,concrete wall,colorful tile flooring,290;1708;2560;3449;3468;3971;4080;4753;4756;7150;7323;7789;7845,treadmill;cassette player;wooden chest;wooden stool;beach towel;imperial partition;long bathtub;throwback wrestling figure;throwback wall clock;blue corner;brown wooden-deck rug;drying rack;pull-up-bar stand,"3995,4_0","3616,2_0",1.0.0,#fffce9,#0961f6,squ05,SGMdki6dzpDZyXAw5
Agnes,,,,Pig,Female,Big Sister,A,Play,4/21,snuffle,K.K. House,You reap what you sow.,Simple,Elegant,Pink,White,4290,peach umbrella,gray molded-panel wall,arabesque flooring,896;3428;3773;3951;3958;4027;4129;7136;7235;7236;7325;7801;7802,cat tower;wall-mounted TV (50 in.);terrarium;antique console table;antique mini table;floral swag;monstera;cat grass;rose bed;lily record player;ivory medium round mat;pet food bowl;pet bed,"3943,2_0","3616,5_0",1.0.0,#fffce9,#515151,pig17,jzWCiDPm9MqtCfecP
Al,,,,Gorilla,Male,Lazy,B,Fitness,10/18,ayyyeee,Go K.K. Rider,Life is a buffet. Always go back for seconds.,Active,Active,Red,White,3244,mush umbrella,concrete wall,green rubber flooring,833;1452;3307;3697;3946;3960;4013;4078;4116;7800;7845,upright locker;weight bench;digital scale;portable radio;outdoor table;handy water cooler;punching bag;barbell;whiteboard;protein shaker bottle;pull-up-bar stand,"3943,3_0","3251,4_0",1.0.0,#fffad4,#798040,gor08,LBifxETQJGEaLhBjC
Alfonso,,,,Alligator,Male,Lazy,B,Play,6/9,it'sa me,Forest Life,Slow and steady wins the race.,Simple,Simple,Red,Blue,7969,pear umbrella,yellow playroom wall,green honeycomb tile,85;1217;1557;3205;3208;3584;3623;3701;3702;4761;4763,train set;standing toilet;wooden-block bed;wooden-block stereo;wooden-block wall clock;study poster;toy box;study desk;study chair;throwback rocket;throwback dino screen,"1241,0_0","3270,0_0",1.0.0,#fffce9,#e8b010,crd00,REpd8KxB8p9aGBRSE
Alice,,,,Koala,Female,Normal,B,Education,8/19,guvnor,Aloha K.K.,Treat others as you would like to be treated.,Cute,Cute,Red,Pink,4729,hydrangea umbrella,white botanical-tile wall,light parquet flooring,3428;3615;4046;4049;4051;4052;4053;4054;4129;4130;4338;7353,wall-mounted TV (50 in.);open-frame kitchen;rattan end table;rattan wardrobe;rattan vanity;rattan bed;rattan armchair;rattan low table;monstera;coconut wall planter;portable record player;botanical rug,"3943,0_0",3615,1.0.0,#fffce9,#e8b010,kal01,wkPJDHMMMTK24eqzC
Alli,,,,Alligator,Female,Snooty,B,Fashion,11/8,graaagh,K.K. Soul,Think before you act.,Gorgeous,Elegant,Yellow,Brown,8199,patterned vinyl umbrella,woodland wall,rosewood flooring,790;1836;3775;4014;4046;4049;4051;4052;4053;4054,hi-fi stereo;humidifier;hanging terrarium;folding floor lamp;rattan end table;rattan wardrobe;rattan vanity;rattan bed;rattan armchair;rattan low table,"3943,2_0","3251,4_0",1.0.0,#fffce9,#3fd8e0,crd01,dcB3BpFLtcXHAbt5i
Amelia,,,,Eagle,Female,Snooty,B,Music,11/19,cuz,K.K. Condor,"Pampering yourself is as important as food, water, and shelter!",Cool,Elegant,Black,White,7675,spider umbrella,summit wall,common flooring,383;794;3229;4036;4041;4042;4043;4044;4123;4393;9313,acoustic guitar;phonograph;clothesline;log decorative shelves;log bed;log bench;log round table;log extra-long sofa;mini-cactus set;old-fashioned washtub;red kilim-style carpet,"3943,2_0","3270,2_0",1.0.0,#fffad4,#ff4040,pbr01,gWpcHhfpuN4MSTdhF
Anabelle,,,,Anteater,Female,Peppy,B,Fashion,2/16,snorty,Aloha K.K.,Dance like no one's watching!,Cute,Simple,Green,Blue,8190,fairy-tale umbrella,green painted-wood wall,yellow floral flooring,957;1227;1838;1913;2605;2713;3270;3431;3438;3439;3490;3697;3995;4019,ventilation fan;deluxe washer;ironing set;wooden chair;wooden simple bed;refrigerator;ironwood kitchenette;wall fan;wooden end table;wooden table;wooden waste bin;portable radio;cute DIY table;stand mixer,"3995,0_0","3270,0_0",1.0.0,#fff2bb,#ff791f,ant03,gvdKbp6t9xMtx5swT
